,author,fictionList,movieList
0, Agatha Christie , The A.B.C. Murders (1936),The Alphabet Murders 
1, Louise L. Lambrichs , A ton image (1998),Ã€ ton image 
2, Nick Hornby  ,About a Boy  (1998),About a Boy 
3, Louis Begley , About Schmidt (1996),About Schmidt 
4, David Baldacci ,Absolute Power (1996),Absolute Power 
5, Anne Tyler , The Accidental Tourist (1985),The Accidental Tourist 
6, Wally Ferris,Across 110th (1970),Across 110th Street 
7, Yoram Kaniuk,Adam Resurrected (1969),Adam Resurrected 
8, Sean Desmond,Adams Fall (2000),Abandon 
9, Joe David Brown,Addie Pray (1971),Paper Moon 
10, Jin Renshun,Adiliya by the River (1999),Green Tea 
11, Benjamin Constant,Adolphe (1816),Adolphe 
12, Jack London,Adventure (1911),Adventure 
13, Harold Robbins,The Adventurers (1966),The Adventurers 
14, Arturo Perez-Reverte,The Adventures of Captain Alatriste (1996–present),Alatriste 
15, James Justinian Morier,The Adventures of Hajji Baba of Ispahan (1824),The Adventures of Hajji Baba 
16, Mark Twain,Adventures of Huckleberry Finn (1884),Tomato Sawyer and Huckleberry Larry's Big River Rescue 
17, Carlo Collodi,The Adventures of Pinocchio (1883),Pinocchio 
18, Arthur Conan Doyle,The Adventures of Sherlock Holmes (1892),Sheerluck Holmes and the Golden Ruler 
19, Mark Twain,The Adventures of Tom Sawyer (1876),Tom Sawyer 
20, Allen Drury,Advise and Consent (1959),Advise Consent 
21, Alexei Tolstoy,Aelita (1923),Aelita 
22, C. S. Forester,The African Queen (1935),The African Queen 
23, Anna Todd,After (2017),After 
24," My Sweet (1955), Jim Thompson",After Dark,"After Dark, My Sweet "
25, Edwin Torres,After Hours (1979),Carlito's Way 
26, Agatha Christie,After the Funeral (1953),Murder at the Gallop 
27, Edith Wharton,The Age of Innocence (1921),The Age of Innocence 
28, Irving Stone,The Agony and the Ecstasy (1961),The Agony and the Ecstasy 
29, Heikki Hietamies,Aideista parhain (Mother of Mine) (1999),Mother of Mine 
30, Francoise Sagan,Aimez-vous Brahms? (1959),Jahan Tum Le Chalo 
31, Christopher Robbins ,Air America (1985),Air America 
32, Kenneth Oppel,Airborn (2004),Airborn 
33, Arthur Hailey,Airport (1968),The Concorde Airport 79 
34, Booth Tarkington,Alice Adams (1921),Alice Adams 
35, Sir H. Rider Haggard,Allan Quatermain (1887),Allan Quatermain and the Lost City of Gold 
36, James Leo Herlihy,All Fall Down (1960),All Fall Down 
37, Ben Ames Williams,All the Brothers Were Valiant (1919),All the Brothers Were Valiant 
38, Robert Penn Warren,All the King's Men (1946),All the King's Men 
39, Cormac McCarthy,All the Pretty Horses (1992),All the Pretty Horses 
40, Andy Behrens,All the Way (2001),Sex Drive 
41, Hiroshi Sakurazaka,All You Need Is Kill (2009),Edge of Tomorrow 
42, Joseph Conrad,Almayer's Folly (1895),Almayer's Folly 
43, James Patterson,Along Came a Spider (1993),Along Came a Spider 
44, Paddy Chayefsky,Altered States (1978),Altered States 
45, Zelma Roberts,Always Another Dawn (1948),Always Another Dawn 
46," Always Outgunned (1987), Walter Mosley",Always Outnumbered,Always Outnumbered 
47, Juan Marse,El amante bilingue (The Bilingual Lover) (1990),The Bilingual Lover 
48, Mauricio Dayub,The Amateur (Spanish: El Amateur) (1990),The Amateur 
49, Norman Mailer,An American Dream (1965),An American Dream 
50, Shawn Wong,American Knees (1995),Americanese 
51, Bret Easton Ellis,American Psycho (1991),American Psycho 
52, Harvey Pekar,American Splendor (1976–2008),American Splendor 
53, Theodore Dreiser,An American Tragedy (1925),A Place in the Sun 
54, William Bradford Huie,The Americanization of Emily (1959),The Americanization of Emily 
55, Franz Kafka,Amerika (1927),Amerika 
