,bURL,bRating,bReview,bReviewCategory,VASentiment,PreprocessedReviews,IsEnglish
0,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"I've watched the movie recently so I've decided to re-read this book and I am surprised by how much I see it now compared to how I felt when I read it 2 years ago.
This book raised controversial issues regarding the foundations of Christianity and frankly, it was too much to unpack.
Still, I've enjoyed it the like the first time.",Positive,Positive,watched movie recently decided book surprised much see compared felt read years ago book raised controversial issues regarding foundations christianity frankly much unpack still enjoyed like first time,True
2,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,I am still shocked. Review to come! :),Positive,Positive,still shocked review come,True
3,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,"Angels & Demons -

I thought this was a decent read, I enjoyed the story-line, characters & hearing about the historical places. I would consider this a good travel book, it didn't take much thought or concentration once the story took off. I am not sure if I want to continue reading the rest of the books? The author is predictable, at least for me he was, and again I think I may read another when I am traveling. Langdon was like a biblical Indian Jones, so that was neat because I love Indiana Jones.

The story was full of excitement, explosions, death, biblical artwork, blood, gore, some sexual references... and a heavy woman with a mini parachute floating in a wind tunnel.",Positive,Positive,angels demons thought decent read enjoyed characters hearing historical places would consider good travel book take much thought concentration story took sure want continue reading rest books author predictable least think may read another traveling langdon like biblical indian jones neat love indiana jones story full excitement explosions death biblical artwork blood gore sexual references heavy woman mini parachute floating wind tunnel,True
4,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,Really smart written.,Neutral,Positive,really smart written,True
6,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"4.75 stars
So, this is a re-read for me BUT I didn’t remember anything from the previous read. Some of these things may be considered spoilers but I don’t think they are spoilers.
Pros
This book is a bit info-dumpy but I really enjoyed it. I didn’t find it to be too heavy and I just love learning new things in books. I can appreciate the amount of effort and research that went into the making of this book. I loved the writing style during the chapters of the Hassassin. I don’t really read thrillers but I think I will if thrillers were more like this. The discussion of religion and science is wonderfully done and I think discussed from multiple sides, which I appreciated.
Cons
The pacing for two reasons. One, this book is supposed to span across a 24-hour period of time and I thought that was a poor choice. Somehow, we are supposed to believe that thousands of other people have never put these clues together and these two people managed it in one day. Second, we would have some scenes that spanned a lot of pages and chapters and then others were a short number of pages and I felt were rushed. The chapters in the Hassassin ‘s point of view, I didn’t care for. I don’t really think they added much to the story",Positive,Positive,stars remember anything previous read things may considered spoilers think spoilers pros book bit really enjoyed find heavy love learning new things books appreciate amount effort research went making book loved writing style chapters hassassin really read thrillers think thrillers like discussion religion science wonderfully done think discussed multiple sides appreciated cons pacing two reasons one book supposed span across period time thought poor choice somehow supposed believe thousands people never put clues together two people managed one day second would scenes spanned lot pages chapters others short number pages felt rushed chapters hassassin point view care really think added much story,True
7,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,Secrets. Hidden truths and half-truths emerge from the shadowy cracks of Vatican City. Robert encounters a clash of science and church while racing to be one step ahead of a murderer.,Positive,Negative,secrets hidden truths emerge shadowy cracks vatican city robert encounters clash science church racing one step ahead murderer,True
8,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.25,"Wow, a long book but it went (mostly) fast! Action mystery/thriller, this is a prequel to the Da Vinci Code with a violent showdown between the Illuminati and the Vatican, plus the two MCs (symbology at MMC and physicist FMC) trying to stop them.

Characters- bland, dialogue is funny in a cliche hokey way. Our main characters each suffered a Traumatic Event as a child that gave them very specific worldviews for the rest of their lives… meh. Also, FMC Vittoria the Bio Entanglement Physicist was particularly ludicrous, with her incessant references to “ah yes I know this Obscure Skill that comes in handy during Plot Event because a dolphin taught it to me” or some shit. MMC is The Hot Professor who does water polo, is super smart, but just doesn’t have a need for women in his life right now. Plus he’s fucking indestructible. Anywho, this is a plot book, just laugh and move on. 

Plot- whew, so many twists and turns! I was hooked for a long while even though I don’t like history. The first really tense portion (for the first cardinal) and then the last portion were the best. In between the action lagged a bit, and the author has a habit of interjecting flashbacks or wordy descriptions of scenery into  what *should* be tense scenes. 

Writing- a step up from the Da Vinci Code, which I found almost unreadable when I tried it years ago. Yes, there are some cheesy cliffhangers and foreshadowing. (“Robert was scared now. Little did he know, later that day he’d be in more danger than ever before. <chapter ends>”). Skimming is your friend. I can only read about Roman architecture for so long.

There’s some messaging about religion vs science that got a little preachy imo, though the author ends on a fairly neutral stance. 

One pet peeve: FMC in danger of rape by villain, MMC must save! Like.. this is a historical mystery thriller, did we really need that.",Neutral,Negative,wow long book went mostly fast action prequel da vinci code violent showdown illuminati vatican plus two mcs symbology mmc physicist fmc trying stop bland dialogue funny cliche hokey way main characters suffered traumatic event child gave specific worldviews rest meh also fmc vittoria bio entanglement physicist particularly ludicrous incessant references ah yes know obscure skill comes handy plot event dolphin taught shit mmc hot professor water polo super smart need women life right plus fucking indestructible anywho plot book laugh move whew many twists turns hooked long even though like history first really tense portion first cardinal last portion best action lagged bit author habit interjecting flashbacks wordy descriptions scenery tense scenes step da vinci code found almost unreadable tried years ago yes cheesy cliffhangers foreshadowing robert scared little know later day danger ever chapter ends skimming friend read roman architecture long messaging religion vs science got little preachy imo though author ends fairly neutral stance one pet peeve fmc danger rape villain mmc must save like historical mystery thriller really need,True
10,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,3.0,"I dont know how to feel about this. It felt like a huge build up, to a seemingly huge ending that fell flat, the romance played absolutely no part in the story and was extremely forced and unnatural and straight up cringe (""primal hunger"" is the phrase of my nightmares). The writing sometimes frustrated me, but to its defense it was entertaining and me being a goner for history and secret societies enjoyed it.",Neutral,Positive,dont know feel felt like huge build seemingly huge ending fell flat romance played absolutely part story extremely forced unnatural straight cringe primal hunger phrase nightmares writing sometimes frustrated defense entertaining goner history secret societies enjoyed,True
11,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,5.0,Loved it! Can't wait to read more of Dan Brown's books!,Positive,Positive,loved ca wait read dan brown books,True
12,https://app.thestorygraph.com/book_reviews/4d0ec247-c054-4e6e-ad15-459003b999c3,4.0,"3.75⭐️

Robert Langdon is a professor who focuses on religious lore and symbols. With that being said, his life isn’t that adventurous but that changes when he gets a call that wakes him up and sends him on a flight across the world in search of the illuminati. It’s up to his knowledge and the help of a new colleague to try and stop them from the terror they launched across Rome.

I’m not big into thrillers because of some of the anxiousness I get from it but I really enjoyed this one. I think because this isn’t my usual genre, I was even more surprised than most discovering the mysteries along the way. I appreciated that the author wasn’t afraid to provide some more realistic outcomes and didn’t make it easy for Robert. The ending was crazy and I didn’t expect it at all. Will pick up the next book at some point.",Positive,Positive,robert langdon professor focuses religious lore symbols said life adventurous changes gets call wakes sends flight across world search illuminati knowledge help new colleague try stop terror launched across rome big thrillers anxiousness get really enjoyed one think usual genre even surprised discovering mysteries along way appreciated author afraid provide realistic outcomes make easy robert ending crazy expect pick next book point,True
