,mURL,mRating,mReview,mReviewCategory,PreprocessedReviews,IsEnglish
0,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,7.0,"Tom Hanks returns as Dan Brown's symbologist Robert Langdon in his first adventure Angels & Demons, which Hollywood decided to make after The Da Vinci Code, given the latter's more controversial subject striking a raw nerve on the faith itself. The Catholic Church was up in arms over the first film, but seemingly nonchalant about this one. And it's not hard to see why, considering Ron Howard had opted to do a flat-out action piece that serves as a great tourism video of Rome and Vatican City, and would probably boost visitor numbers given the many beautiful on-location scenes, save for St Peter's Square and Basilica which was a scaled model used.

So I guess with the bulk of the budget going toward the sets, the ensemble cast had to be correspondingly scaled down. Ayelet Zurer tried to step into the female void left by Audrey Tautou, but given Tautou's character then having a lot more stake in the film, Zurer's scientist Vittoria had a lot less to do other than just waiting in the wings to change some batteries on a canister filled with anti-matter. In the book she's the fodder of course for Langdon to converse his vast knowledge of the Vatican, the Illuminati and the great feud between the two, but here she's neither love interest, nor his intellectual equal.

Ewan McGregor on the other hand, chews up each scene he's in as Camerlengo Patrick McKenna, who is temporarily taking care of the Papal office while the other prominent cardinals are in the Sistine Chapel to elect a new Pope. And he plays Patrick with that glint in the eye, with nuances enough to let you know there's more than meets the eye. There's no surprises here for readers of the novel, but McGregor's performance here is one of the highlights of the film as Hanks plays well, Tom Hanks.

The book itself is rich with arguably accurate content as always, and had a lot more plot points on science versus religion, and a wealth of information that Dan Brown researched and linked together in an engaging fictional piece of work. While reading the book some years ago, I thought that should a film be made of it, it's easy to lapse and dwell more on the set action pieces. Sadly, that's what this Ron Howard film did, with a pace that doesn't allow a temporary breather. Unlike the first film where you had the characters sit down for some ""discussion time"" over a cup of tea, this one moved things along so quickly, it's like reading the book all over again, page after page being skipped just to get to the thick of the action.

Catholic reviewers have called Angels & Demons harmless, because I guess it didn't dwell on its many controversies, unlike The Da Vinci Code which struck a raw nerve at the centre of the faith. And if anything, this film served as a great tourism promotional video with a nice showcase of the many prominent touristy landmarks that would entice many around the world to go pay a visit. Naturally certain areas like the catacombs beneath St Peter's Basilica, and the Vatican archives remain out of bounds, but the walk along the Path of Illumination, now that's almost free.

Nothing new for those who have read the book other than to see it come alive, but for those who haven't, this film may just compel you to pick up Dan Brown's novel just to read a bit more about the significance about the landmarks, and characters such as Galileo, Michelangelo and Bernini who are intricately linked to the plot, but much left unsaid. Satisfying pop-corn entertainment leaving you with nothing spectacular.",Average,tom hanks returns dan brown symbologist robert langdon first adventure angels demons hollywood decided make da vinci code given latter controversial subject striking raw nerve faith catholic church arms first film seemingly nonchalant one hard see considering ron howard opted action piece serves great tourism video rome vatican city would probably boost visitor numbers given many beautiful scenes save st peter square basilica scaled model used guess bulk budget going toward sets ensemble cast correspondingly scaled ayelet zurer tried step female void left audrey tautou given tautou character lot stake film zurer scientist vittoria lot less waiting wings change batteries canister filled book fodder course langdon converse vast knowledge vatican illuminati great feud two neither love interest intellectual equal ewan mcgregor hand chews scene camerlengo patrick mckenna temporarily taking care papal office prominent cardinals sistine chapel elect new pope plays patrick glint eye nuances enough let know meets eye surprises readers novel mcgregor performance one highlights film hanks plays well tom hanks book rich arguably accurate content always lot plot points science versus religion wealth information dan brown researched linked together engaging fictional piece work reading book years ago thought film made easy lapse dwell set action pieces sadly ron howard film pace allow temporary breather unlike first film characters sit discussion time cup tea one moved things along quickly like reading book page page skipped get thick action catholic reviewers called angels demons harmless guess dwell many controversies unlike da vinci code struck raw nerve centre faith anything film served great tourism promotional video nice showcase many prominent touristy landmarks would entice many around world go pay visit naturally certain areas like catacombs beneath st peter basilica vatican archives remain bounds walk along path illumination almost free nothing new read book see come alive film may compel pick dan brown novel read bit significance landmarks characters galileo michelangelo bernini intricately linked plot much left unsaid satisfying entertainment leaving nothing spectacular,True
1,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,8.0,"This is an OK adaptation of the breath taking book of Dan Brown. I can't say it is novel or very good but they made a movie that you can enjoy. Given the excellent story, the result could have been better though. The movie is pretty long but at the end I was feeling like some things were missing. Sound effects and sound tracks were very good. Acting was well done but the character development phase was very weak. For people who didn't read the book, things may look happening too quickly. From my point of view, instead of trying to put as much as stuff from the book, they could have tried to do the important scenes more proper. What makes the book very good was all the puzzle like story combined with the excellent portrait of Vatican. You see neither of it in the movie. Too much rush and using the time not in a good way, these are main problems of the movie. So, it is worth watching but could have been done better.
56 out of 78 found this helpful. Was this review helpful? Sign in to vote.
Permalink",Good,ok adaptation breath taking book dan brown ca say novel good made movie enjoy given excellent story result could better though movie pretty long end feeling like things missing sound effects sound tracks good acting well done character development phase weak people read book things may look happening quickly point view instead trying put much stuff book could tried important scenes proper makes book good puzzle like story combined excellent portrait vatican see neither movie much rush using time good way main problems movie worth watching could done better found helpful review helpful sign vote permalink,True
2,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,5.0,"I am sorry for all the readers, but I don't know where to begin.

Let me say at first that I'm not a big Dan Brown fan, but I read Angels & Demons with great pleasure. The book deals a lot with the eternal question of Science vs. Religion and that made me think a lot about that subject again. That big battle is totally lost in the movie.

A lot of the important lines in the book (CERN, Maximilian Kohler, the scepsis of the Swiss Guard, the love relationship between Robert and Vittoria, the Hassassin, the relationship between the Camerlengo and the pope) are lost in the movie screenplay. This makes the movie a very cut-down and over-simplified version.

Would the movie be any good if I hadn't read the book? I still doubt it. From scene 3 on, the movie is a 'chase-movie' without interruption. There is no time for contemplation or depth. No story-line, no backgrounds. It's just a chase movie in a GREAT decorum.

You would think that with a running time of about 140 minutes a movie is able to bring more. Much more.",Average,sorry readers know begin let say first big dan brown fan read angels demons great pleasure book deals lot eternal question science vs religion made think lot subject big battle totally lost movie lot important lines book cern maximilian kohler scepsis swiss guard love relationship robert vittoria hassassin relationship camerlengo pope lost movie screenplay makes movie version would movie good read book still doubt scene movie without interruption time contemplation depth backgrounds chase movie great decorum would think running time minutes movie able bring much,True
3,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,7.0,"As is the case with many films of this ilk, my non Catholicism got in the way of my understanding it. The church has this mass of rules which have been put together over centuries. We have a short time to learn them and have to accept them at face value. Then, throw in some bad guys getting revenge for a long distant act against them, working under these rules and attempting to circumvent them, and you have this book and movie. I found myself thinking, ""That's pretty cool. Why did they do that?"" There's this casual thing in the Robert Langdon character where no matter what the issue, he seems to always make the right first move. I suppose it's like watching CSI where they solve incredibly complex cases in a matter of days. They know the lay of the land. In this film, there is so much land and so little time to really understand everything that is going on. But if you create Robert Langdon, you need to set him to work. That's OK because heroic nerds like him have been saving the day forever. I thought the film was fun. I thought the Da Vinci Code was fun too. Interesting and not as bad as people seemed to think. This is a marvel to look at and never stops for a second.
5 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink",Average,case many films ilk non catholicism got way understanding church mass rules put together centuries short time learn accept face value throw bad guys getting revenge long distant act working rules attempting circumvent book movie found thinking pretty cool casual thing robert langdon character matter issue seems always make right first move suppose like watching csi solve incredibly complex cases matter days know lay land film much land little time really understand everything going create robert langdon need set work ok heroic nerds like saving day forever thought film fun thought da vinci code fun interesting bad people seemed think marvel look never stops second found helpful review helpful sign vote permalink,True
4,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,8.0,"Symbologist Robert Langdon (Hanks) is called to Rome to help decipher the mystery behind the Illuminati before a new science experiment blows up the city.

The Da Vinci Code broke records in 2006 but for the vast majority of Dan Brown followers it did not do his award winning book justice and though running at a good 2 and a half hours, seemed to bore many.

Having read the book, I was perhaps one of the few who enjoyed Tom Hanks and Audrey Tautou attempt to solve the mystery of the murder in the Louvre but for Angels and Demons the scales were raised once more as lead star and director return.

Having asked around, most people seem to prefer Angels and Demons to The Da Vinci code for an entertaining read and it seems as critiques and fans, whilst still not fully justified, prefer this latest adaptation to the 2006 release.

This Howard picture certainly has a more clinical energy and exercise to it as unlike Da Vinci, Tom Hanks' Robert Langdon has only one night to solve the mysterious activities of the forgotten Illuminati in the Vatican and because of the time limitations, the action and desperation up the ante and deliver an excitement that certainly beats The Da Vinci code but also generates plenty of twists and stunning murder sequences.

The interesting factor of this 2009 release is the constant elements being justified for the murders. Earth, wind, water and fire are all included in drastic and powerful sequences to pronounce a feeling of overall power to the situation.

This really does justify the tag of thriller with a constant tension and sharp drama with the issues and beliefs once more given a full working over.

Just like 3 years ago, there are many debates and discoveries of symbols once believed to be lost forever and Langdon is again the key character to show everyone the light in and amongst the controversy of other pressing circumstances.

It is fair to say Dan Brown is a complex writer; he certainly likes to cram issues and dramas in amongst his action and thrilling sequences. As well as trying to discover the Illuminati, there is also the scenario of the election of a new pope, the dealings with a new scientific experiment and the power of Religion is again present. All interesting to discover and listen to, if occasionally the debates and dialogue tend to send your mind drifting but as there is so much in the novel, this was always likely.

Ron Howard, who kept a frankly ordinary type of direction rolling in Da Vinci, returns in perhaps the worst way possible. His jerky ever moving camera styling does nothing to keep the pressure up, and we can never fully accept what is happening on screen thanks to this frankly awfully portrayed style. He is certainly no Paul Greengrass and this is by no means Bourne.

Slick and stylized this is faster and more interesting than Da Vinci",Good,symbologist robert langdon hanks called rome help decipher mystery behind illuminati new science experiment blows city da vinci code broke records vast majority dan brown followers award winning book justice though running good half hours seemed bore many read book perhaps one enjoyed tom hanks audrey tautou attempt solve mystery murder louvre angels demons scales raised lead star director return asked around people seem prefer angels demons da vinci code entertaining read seems critiques fans whilst still fully justified prefer latest adaptation release howard picture certainly clinical energy exercise unlike da vinci tom hanks robert langdon one night solve mysterious activities forgotten illuminati vatican time limitations action desperation ante deliver excitement certainly beats da vinci code also generates plenty twists stunning murder sequences interesting factor release constant elements justified murders earth wind water fire included drastic powerful sequences pronounce feeling overall power situation really justify tag thriller constant tension sharp drama issues beliefs given full working like years ago many debates discoveries symbols believed lost forever langdon key character show everyone light amongst controversy pressing circumstances fair say dan brown complex writer certainly likes cram issues dramas amongst action thrilling sequences well trying discover illuminati also scenario election new pope dealings new scientific experiment power religion present interesting discover listen occasionally debates dialogue tend send mind drifting much novel always likely ron howard kept frankly ordinary type direction rolling da vinci returns perhaps worst way possible jerky ever moving camera styling nothing keep pressure never fully accept happening screen thanks frankly awfully portrayed style certainly paul greengrass means bourne slick stylized faster interesting da vinci,True
5,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,1.0,"Adaptation of Dan Brown's bestseller, a follow-up to 2006's ""The Da Vinci Code"", has so much plot exposition, location trotting, CGI effects and elaborate camera set-ups in the first thirty minutes, one is apt to be blown away or perhaps toppled over by the breathless racing about. Tom Hanks returns as Robert Langdon, author and professor of religious symbols and societies, who is called upon by the Commander of the Vatican in Rome after a precious vial of anti-matter is violently stolen from a top secret lab in Geneva (which we see) and four Cardinals--candidates for the late Pope's empty chair--are kidnapped (which we don't see). Seems an underground sect named the Illuminati is behind the dirty deeds, and they plan on killing one Cardinal every hour until the stroke of twelve when the contents of the vial will destroy Rome. Extremely slick, extremely familiar jigsaw puzzle movie with absolutely no mystery--just Tom Hanks rattling off information before rushing from Point A to Point B. The killings smack of ""Se7vn"", while the ensuing relationship between Hanks and brilliant scientist Ayelet Zurer is delineated for us in cartoonish terms. Ron Howard also returns as director, and one can almost sense his desire to flood the narrative with jargon (and the screen with slapdash movement) so that the gaps of credibility and logic won't show through. ""Angels & Demons"" has a highbrow air about it which causes some viewers to think they're seeing something powerful and important, but don't be fooled. It is an expensive picture, burnished and foreboding, however it's about as intrinsically satisfying as junk food--and just as bad for you. NO STARS from ****",Poor,adaptation dan brown bestseller da vinci code much plot exposition location trotting cgi effects elaborate camera first thirty minutes one apt blown away perhaps toppled breathless racing tom hanks returns robert langdon author professor religious symbols societies called upon commander vatican rome precious vial violently stolen top secret lab geneva see four cardinals candidates late pope empty chair kidnapped see seems underground sect named illuminati behind dirty deeds plan killing one cardinal every hour stroke twelve contents vial destroy rome extremely slick extremely familiar jigsaw puzzle movie absolutely mystery tom hanks rattling information rushing point point b killings smack ensuing relationship hanks brilliant scientist ayelet zurer delineated us cartoonish terms ron howard also returns director one almost sense desire flood narrative jargon screen slapdash movement gaps credibility logic wo show angels demons highbrow air causes viewers think seeing something powerful important fooled expensive picture burnished foreboding however intrinsically satisfying junk food bad stars,True
6,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,8.0,"Where Da Vinci code introduced us to Dr. Robert Langdon and his knack for solving puzzles, Angels and Demons ups the ante by providing a huge puzzle with an 8 hour limit.

With a cast of award winning actors, Ron Howard does a good job of directing a story that was easy to follow and even easier to accept. The Da Vinci code threw so many angles at you in such a short time that a quick bathroom break would leave you a bit confused on return. I didn't feel this was with Angels and Demons, the plot was straight-forward and the action kept the interest level peaked throughout.

Cardinal Strauss (Armin Mueller-Stahl) was easily my favorite character in the movie. His portrayal of the elitist, yet misunderstood rank of the Catholic Church was very good and combined with the victim of his treatment Camerlengo Patrick McKenna (Ewan McGregor), you will find yourself choosing sides immediately upon introduction. There isn't a great amount of Tom Hanks time as the film focuses more on story than character development and this did well with me being that I had more than enough introduction from the first movie.

Unfortunately I found Ayelet Zurer's character Vittoria Vetra to be an unnecessary femme assistant in the quest since her lines were a bit limited and seemed much like an afterthought. She does play a key role in the beginning of things but she soon fades into the background of being Langdon's ""familiar"" more-so than a necessary partner.

The plot is as such, one of the organizations that the Catholic Church wronged in the past (there have been quite a few) has sought revenge in a most artistic manner. Some men of the church are kidnapped and are set to be executed at specific times until an ultimate end to the church itself will happen. Dr. Robert Landon is brought in to help decipher the clues and teams up with the beautiful Vittoria Vetra, a scientist who witnessed a colleague die at the hands of the church's enemy.

Music staying relevant and the cinematography beautiful, I could chime on about this menial things but what makes Angels and Demons absolutely work is it's conclusion. It was by far one of the most amazingly surprising endings I have seen in a movie and I was impressed at how off-guard I was when it hit me. Like anyone else I appreciate a great wrap-up and this movie wraps it up quite tight and drops a pretty bow on it. Needless to say I left the theater pleased at the movie in it's entirety.

If you are religious and unsure if this movie will offend your Catholic principles. I can say that where The DaVinci code painted Catholicism as a shady cover-up group of sadists, Angels and Demons paints them with a much lighter brush. The church is shown as being a collective of good men who are made to suffer for the sins of evil and misguided men who wore their colors and even a few who have infiltrated their modern ranks.",Good,da vinci code introduced us robert langdon knack solving puzzles angels demons ups ante providing huge puzzle hour limit cast award winning actors ron howard good job directing story easy follow even easier accept da vinci code threw many angles short time quick bathroom break would leave bit confused return feel angels demons plot action kept interest level peaked throughout cardinal strauss armin easily favorite character movie portrayal elitist yet misunderstood rank catholic church good combined victim treatment camerlengo patrick mckenna ewan mcgregor find choosing sides immediately upon introduction great amount tom hanks time film focuses story character development well enough introduction first movie unfortunately found ayelet zurer character vittoria vetra unnecessary femme assistant quest since lines bit limited seemed much like afterthought play key role beginning things soon fades background langdon familiar necessary partner plot one organizations catholic church wronged past quite sought revenge artistic manner men church kidnapped set executed specific times ultimate end church happen robert landon brought help decipher clues teams beautiful vittoria vetra scientist witnessed colleague die hands church enemy music staying relevant cinematography beautiful could chime menial things makes angels demons absolutely work conclusion far one amazingly surprising endings seen movie impressed hit like anyone else appreciate great movie wraps quite tight drops pretty bow needless say left theater pleased movie entirety religious unsure movie offend catholic principles say davinci code painted catholicism shady group sadists angels demons paints much lighter brush church shown collective good men made suffer sins evil misguided men wore colors even infiltrated modern ranks,True
7,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,7.0,"I read Angels and Demons about 3 years ago, and I can honestly say to is one of the few books that I couldn't put down while reading.

The movie however was pretty much what i expected, a lot of action, with somewhat of a mystery storyline. Tom Hanks plays, in my opinion, a much better role, of Professor Langdon than in The Da Vinci Code.

You won't have to worry about this being as bad as The Da Vinci Code, this is everything that it wasn't. Much more interesting, more action, more suspense, and less of the unneeded controversy. If you haven't read the book, no worries you will still find it very interesting. And if you have read the book, well lets say you might be a little let down because I found many scenes missing that I was looking forward to.

Overall, Pretty impressive film for any everyday movie goer. But, maybe not something too special for Dan Brown fans.",Average,read angels demons years ago honestly say one books could put reading movie however pretty much expected lot action somewhat mystery storyline tom hanks plays opinion much better role professor langdon da vinci code wo worry bad da vinci code everything much interesting action suspense less unneeded controversy read book worries still find interesting read book well lets say might little let found many scenes missing looking forward overall pretty impressive film everyday movie goer maybe something special dan brown fans,True
8,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,6.0,"Angels and Demons is not too bad, it comes in a form of entertainment. It is more intense than Da Vinci Code. I remembered that I had to pry my eyes open during the middle part of Da Vinci Code. It is long, not much suspense and consists of babbling about. Yawn. But Angels & Demons, the sequel, is more intense, has more suspense and action. Tom Hanks gets not only to exercise his brain but also his legs. The adventure requires him to move from one place to another.

The story: Tom Hanks plays symbologist Robert Langdon. He has to solve a murder and at the same time, prevent a terrorist act against the Vatican. This time, he has Vittoria Vetra (Ayelet Zurer) to help him solve the mystery. The mystery plot and intense peril scenes kept me on the seat. Hans Zimmer's beautiful score makes the movie more epic. The adventure is an intense ride but not as intense as I thought. The sets are amazing too.

Overall: Fans of the book will flock the cinemas to catch this. Fans of the previous movie, Da Vinci Code, should also catch this. Those who like thrillers, this one may suit. This is supposed to be a fictional thriller which is not to be taken seriously.",Average,angels demons bad comes form entertainment intense da vinci code remembered pry eyes open middle part da vinci code long much suspense consists babbling yawn angels demons sequel intense suspense action tom hanks gets exercise brain also legs adventure requires move one place another story tom hanks plays symbologist robert langdon solve murder time prevent terrorist act vatican time vittoria vetra ayelet zurer help solve mystery mystery plot intense peril scenes kept seat hans zimmer beautiful score makes movie epic adventure intense ride intense thought sets amazing overall fans book flock cinemas catch fans previous movie da vinci code also catch like thrillers one may suit supposed fictional thriller taken seriously,True
9,https://www.imdb.com/title/tt0808151/reviews/?ref_=tt_ql_2,4.0,"It's now been three years since Tom Hanks as Dr. Robert Langdon solved the mystery of Jesus and Mary Magdalene and that Audrey Tautou from The DaVinci Code is their descendant. You wouldn't think that for one minute the Catholic Church would call on this guy in a crisis. But that's what The DaVinci Code sequel Angels & Demons would have us believe. After all this guy basically ripped apart the linchpin of the Christian faith.

But now four cardinals have been captured on the eve on the conclave to elect a new pope and with some jurisdictional disputes raging, some in the Vatican have called in Tom Hanks. The culprit is that notorious secret society the Illuminati and not only have they captured four of the cardinals and are threatening to kill them, but are threatening to blow up the Vatican itself with an anti-matter device. The anti-matter was stolen from the supercollider in Geneva which brings scientist Ayelet Zurer into the picture as well.

So with Hanks trying to decipher codes from the Vatican archives in much the same way Nicholas Cage was working in National Treasure and Zurer around to see the bomb doesn't go off, it's a race against time to save the Vatican and its cardinals.

Director Ron Howard and Tom Hanks did a great job with The DaVinci Code, but in the sequel they came up way short. Church politics can get good and nasty sometimes, but this one was way too much for my taste.

Better this sequel just not have been made.",Poor,three years since tom hanks robert langdon solved mystery jesus mary magdalene audrey tautou davinci code descendant would think one minute catholic church would call guy crisis davinci code sequel angels demons would us believe guy basically ripped apart linchpin christian faith four cardinals captured eve conclave elect new pope jurisdictional disputes raging vatican called tom hanks culprit notorious secret society illuminati captured four cardinals threatening kill threatening blow vatican device stolen supercollider geneva brings scientist ayelet zurer picture well hanks trying decipher codes vatican archives much way nicholas cage working national treasure zurer around see bomb go race time save vatican cardinals director ron howard tom hanks great job davinci code sequel came way short church politics get good nasty sometimes one way much taste better sequel made,True
